well,chemical,gene,CTvalue,replicate
e1,10ummehp,retn,24.37,3
f1,20ummehp,retn,23.49,3
a2,mi,retn,26.07,3
b2,0.01ummehp,retn,26.37,3
c2,0.1ummehp,retn,26.31,3
d2,1ummehp,retn,25.41,3
e2,10ummehp,retn,24.53,3
f2,20ummehp,retn,23.64,3
a3,mi,retn,26.06,3
b3,0.01ummehp,retn,26.27,3
c3,0.1ummehp,retn,26.17,3
d3,1ummehp,retn,25.24,3
e3,10ummehp,retn,24.24,3
f3,20ummehp,retn,23.6,3
a4,mi,retn,27.42,4
b4,0.01ummehp,retn,27.62,4
c4,0.1ummehp,retn,26.82,4
d4,1ummehp,retn,26.73,4
e4,10ummehp,retn,25.41,4
f4,20ummehp,retn,24.55,4
a5,mi,retn,27.36,4
b5,0.01ummehp,retn,27.54,4
c5,0.1ummehp,retn,26.7,4
d5,1ummehp,retn,27.07,4
e5,10ummehp,retn,25.29,4
f5,20ummehp,retn,24.63,4
a6,mi,retn,27.35,4
b6,0.01ummehp,retn,27.42,4
c6,0.1ummehp,retn,26.63,4
d6,1ummehp,retn,26.8,4
e6,10ummehp,retn,25.5,4
f6,20ummehp,retn,24.46,4
a7,mi,retn,26.26,5
b7,0.01ummehp,retn,26.3,5
c7,0.1ummehp,retn,26.05,5
d7,1ummehp,retn,26.2,5
e7,10ummehp,retn,24.22,5
f7,20ummehp,retn,24,5
a8,mi,retn,26.11,5
b8,0.01ummehp,retn,26.3,5
c8,0.1ummehp,retn,25.95,5
d8,1ummehp,retn,26.1,5
e8,10ummehp,retn,24.14,5
f8,20ummehp,retn,24.02,5
a9,mi,retn,26.4,5
b9,0.01ummehp,retn,26.3,5
c9,0.1ummehp,retn,26.15,5
d9,1ummehp,retn,26.01,5
e9,10ummehp,retn,24.19,5
f9,20ummehp,retn,24.02,5
a10,mi,retn,26.74,3
b10,mie,retn,26.06,3
c10,mir,retn,21.08,3
d10,mid,retn,20.31,3
e10,mi,retn,28.18,4
f10,mie,retn,27.7,4
g10,mir,retn,21.71,4
h10,mid,retn,20.7,4
a11,mi,retn,26.77,3
b11,mie,retn,26.17,3
c11,mir,retn,21.04,3
d11,mid,retn,20.51,3
e11,mi,retn,28.15,4
f11,mie,retn,27.78,4
g11,mir,retn,21.66,4
h11,mid,retn,20.54,4
a12,mi,retn,26.93,3
b12,mie,retn,26.19,3
c12,mir,retn,21.16,3
d12,mid,retn,20.4,3
e12,mi,retn,28.26,4
f12,mie,retn,28.16,4
g12,mir,retn,21.92,4
h12,mid,retn,20.61,4
a1,mi,retn,26.42,3
b1,0.01ummehtp,retn,26.94,3
c1,0.1ummehtp,retn,26.84,3
d1,1ummehtp,retn,26.15,3
e1,10ummehtp,retn,26.26,3
f1,20ummehtp,retn,25.95,3
a2,mi,retn,26.31,3
b2,0.01ummehtp,retn,26.99,3
c2,0.1ummehtp,retn,26.76,3
d2,1ummehtp,retn,26.25,3
e2,10ummehtp,retn,26.22,3
f2,20ummehtp,retn,25.86,3
a3,mi,retn,26.16,3
b3,0.01ummehtp,retn,26.89,3
c3,0.1ummehtp,retn,26.71,3
d3,1ummehtp,retn,26.1,3
e3,10ummehtp,retn,26.04,3
f3,20ummehtp,retn,25.81,3
a4,mi,retn,26.44,4
b4,0.01ummehtp,retn,27.12,4
c4,0.1ummehtp,retn,26.27,4
d4,1ummehtp,retn,25.87,4
e4,10ummehtp,retn,26.57,4
f4,20ummehtp,retn,26.36,4
a5,mi,retn,26.6,4
b5,0.01ummehtp,retn,27.12,4
c5,0.1ummehtp,retn,26.26,4
d5,1ummehtp,retn,25.99,4
e5,10ummehtp,retn,26.44,4
f5,20ummehtp,retn,26.22,4
a6,mi,retn,26.33,4
b6,0.01ummehtp,retn,27.02,4
c6,0.1ummehtp,retn,26.74,4
d6,1ummehtp,retn,25.71,4
e6,10ummehtp,retn,26.52,4
f6,20ummehtp,retn,26.37,4
a7,mi,retn,26.47,5
b7,0.01ummehtp,retn,26.93,5
c7,0.1ummehtp,retn,26.61,5
d7,1ummehtp,retn,26.41,5
e7,10ummehtp,retn,26.49,5
f7,20ummehtp,retn,26.85,5
a8,mi,retn,26.6,5
b8,0.01ummehtp,retn,26.72,5
c8,0.1ummehtp,retn,26.51,5
d8,1ummehtp,retn,26.28,5
e8,10ummehtp,retn,26.51,5
f8,20ummehtp,retn,26.94,5
a9,mi,retn,26.57,5
b9,0.01ummehtp,retn,26.77,5
c9,0.1ummehtp,retn,26.48,5
d9,1ummehtp,retn,26.27,5
e9,10ummehtp,retn,26.52,5
f9,20ummehtp,retn,27.03,5
a10,mi,retn,26.4,5
b10,mie,retn,25.67,5
c10,mir,retn,20.87,5
d10,mid,retn,20.48,5
e10,mi,retn,26.83,6
f10,mie,retn,27.08,6
g10,mir,retn,22.18,6
h10,mid,retn,20.26,6
a11,mi,retn,26.27,5
b11,mie,retn,25.71,5
c11,mir,retn,20.87,5
d11,mid,retn,20.78,5
e11,mi,retn,27.05,6
f11,mie,retn,27.25,6
g11,mir,retn,22.31,6
h11,mid,retn,20.19,6
a12,mi,retn,26.29,5
b12,mie,retn,25.89,5
c12,mir,retn,21,5
d12,mid,retn,20.46,5
e12,mi,retn,27.01,6
f12,mie,retn,27.29,6
g12,mir,retn,22.39,6
h12,mid,retn,20.22,6
a1,mi,adipoq,24.69,7
b1,0.01umdeha,adipoq,24.52,7
c1,0.1umdeha,adipoq,24.48,7
d1,1umdeha,adipoq,23.57,7
e1,10umdeha,adipoq,23.32,7
f1,20umdeha,adipoq,23.46,7
a2,mi,adipoq,24.56,7
b2,0.01umdeha,adipoq,24.41,7
c2,0.1umdeha,adipoq,24.49,7
d2,1umdeha,adipoq,23.6,7
e2,10umdeha,adipoq,23.3,7
f2,20umdeha,adipoq,23.35,7
a3,mi,adipoq,24.37,7
b3,0.01umdeha,adipoq,24.32,7
c3,0.1umdeha,adipoq,24.32,7
d3,1umdeha,adipoq,23.47,7
e3,10umdeha,adipoq,23.23,7
f3,20umdeha,adipoq,23.29,7
a4,mi,retn,26.35,7
b4,0.01umdeha,retn,26.36,7
c4,0.1umdeha,retn,26.18,7
d4,1umdeha,retn,25.36,7
e4,10umdeha,retn,24.95,7
f4,20umdeha,retn,25.19,7
a5,mi,retn,26.3,7
b5,0.01umdeha,retn,26.4,7
c5,0.1umdeha,retn,26.07,7
d5,1umdeha,retn,25.18,7
e5,10umdeha,retn,24.83,7
f5,20umdeha,retn,24.92,7
a6,mi,retn,26.31,7
b6,0.01umdeha,retn,26.38,7
c6,0.1umdeha,retn,26.12,7
d6,1umdeha,retn,25.15,7
e6,10umdeha,retn,24.75,7
f6,20umdeha,retn,25.07,7
a7,mi,pparg,24.65,7
b7,0.01umdeha,pparg,24.4,7
c7,0.1umdeha,pparg,24.5,7
d7,1umdeha,pparg,24.25,7
e7,10umdeha,pparg,24.07,7
f7,20umdeha,pparg,24.24,7
a8,mi,pparg,24.83,7
b8,0.01umdeha,pparg,24.35,7
c8,0.1umdeha,pparg,24.49,7
d8,1umdeha,pparg,24.13,7
e8,10umdeha,pparg,24.18,7
f8,20umdeha,pparg,24.23,7
a9,mi,pparg,24.5,7
b9,0.01umdeha,pparg,24.26,7
c9,0.1umdeha,pparg,24.63,7
d9,1umdeha,pparg,24.23,7
e9,10umdeha,pparg,24.21,7
f9,20umdeha,pparg,24.19,7
a10,mi,ppara,34.58,7
b10,0.01umdeha,ppara,33.55,7
c10,0.1umdeha,ppara,33.95,7
d10,1umdeha,ppara,33.66,7
e10,10umdeha,ppara,33.45,7
f10,20umdeha,ppara,33.45,7
a11,mi,ppara,34.58,7
b11,0.01umdeha,ppara,33.64,7
c11,0.1umdeha,ppara,33.92,7
d11,1umdeha,ppara,33.3,7
e11,10umdeha,ppara,33.54,7
f11,20umdeha,ppara,33.2,7
a12,mi,ppara,34.33,7
b12,0.01umdeha,ppara,33.93,7
c12,0.1umdeha,ppara,33.93,7
d12,1umdeha,ppara,33.3,7
e12,10umdeha,ppara,33.71,7
f12,20umdeha,ppara,33.57,7
a1,mi,retn,27.43,4
b1,0.01ummeha,retn,28.02,4
c1,0.1ummeha,retn,27.2,4
d1,1ummeha,retn,26.95,4
e1,10ummeha,retn,26.7,4
f1,20ummeha,retn,26.4,4
a2,mi,retn,27.29,4
b2,0.01ummeha,retn,28.01,4
c2,0.1ummeha,retn,27.06,4
d2,1ummeha,retn,26.76,4
e2,10ummeha,retn,26.85,4
f2,20ummeha,retn,26.45,4
a3,mi,retn,27.34,4
b3,0.01ummeha,retn,27.84,4
c3,0.1ummeha,retn,26.99,4
d3,1ummeha,retn,26.75,4
e3,10ummeha,retn,26.63,4
f3,20ummeha,retn,26.5,4
a4,mi,retn,26.31,5
b4,0.01ummeha,retn,25.82,5
c4,0.1ummeha,retn,25.81,5
d4,1ummeha,retn,26.06,5
e4,10ummeha,retn,25.73,5
f4,20ummeha,retn,25.18,5
a5,mi,retn,26.31,5
b5,0.01ummeha,retn,25.8,5
c5,0.1ummeha,retn,25.86,5
d5,1ummeha,retn,26.16,5
e5,10ummeha,retn,25.65,5
f5,20ummeha,retn,25.08,5
a6,mi,retn,26.28,5
b6,0.01ummeha,retn,25.92,5
c6,0.1ummeha,retn,26.06,5
d6,1ummeha,retn,26.25,5
e6,10ummeha,retn,25.84,5
f6,20ummeha,retn,25.18,5
a7,mi,retn,27.81,6
b7,0.01ummeha,retn,27.45,6
c7,0.1ummeha,retn,27.4,6
d7,1ummeha,retn,26.82,6
e7,10ummeha,retn,26.42,6
f7,20ummeha,retn,26.01,6
a8,mi,retn,28.04,6
b8,0.01ummeha,retn,27.42,6
c8,0.1ummeha,retn,27.32,6
d8,1ummeha,retn,26.63,6
e8,10ummeha,retn,26.49,6
f8,20ummeha,retn,25.82,6
a9,mi,retn,27.67,6
b9,0.01ummeha,retn,27.32,6
c9,0.1ummeha,retn,27.4,6
d9,1ummeha,retn,26.91,6
e9,10ummeha,retn,26.59,6
f9,20ummeha,retn,25.95,6
a10,mi,retn,25.42,1
b10,0.01umdehtp,retn,25.75,1
c10,0.1umdehtp,retn,25.65,1
d10,1umdehtp,retn,26.51,1
e10,10umdehtp,retn,26.36,1
f10,20umdehtp,retn,26.06,1
a11,mi,retn,25.34,1
b11,0.01umdehtp,retn,25.85,1
c11,0.1umdehtp,retn,25.63,1
d11,1umdehtp,retn,26.67,1
e11,10umdehtp,retn,26.03,1
f11,20umdehtp,retn,26.07,1
a12,mi,retn,25.44,1
b12,0.01umdehtp,retn,25.89,1
c12,0.1umdehtp,retn,26.04,1
d12,1umdehtp,retn,26.53,1
e12,10umdehtp,retn,26.02,1
f12,20umdehtp,retn,26.11,1
a1,mi,retn,28.64,2
b1,0.01umdehtp,retn,28.72,2
c1,0.1umdehtp,retn,28.41,2
d1,1umdehtp,retn,28.24,2
e1,10umdehtp,retn,28.22,2
f1,20umdehtp,retn,28.42,2
g1,mi,retn,28.46,2
h1,mir,retn,21.9,2
a2,mi,retn,28.39,2
b2,0.01umdehtp,retn,28.75,2
c2,0.1umdehtp,retn,28.51,2
d2,1umdehtp,retn,28.11,2
e2,10umdehtp,retn,28.13,2
f2,20umdehtp,retn,28.44,2
g2,mi,retn,28.68,2
h2,mir,retn,21.83,2
a3,mi,retn,28.2,2
b3,0.01umdehtp,retn,28.69,2
c3,0.1umdehtp,retn,28.31,2
d3,1umdehtp,retn,28.01,2
e3,10umdehtp,retn,28.13,2
f3,20umdehtp,retn,28.49,2
g3,mi,retn,28.55,2
h3,mir,retn,21.69,2
a4,mi,retn,27.05,3
b4,0.01umdehtp,retn,26.82,3
c4,0.1umdehtp,retn,26.26,3
d4,1umdehtp,retn,25.68,3
e4,10umdehtp,retn,26.02,3
f4,20umdehtp,retn,26.35,3
g4,mie,retn,28.45,2
h4,mid,retn,20.3,2
a5,mi,retn,27.09,3
b5,0.01umdehtp,retn,26.64,3
c5,0.1umdehtp,retn,26.19,3
d5,1umdehtp,retn,25.86,3
e5,10umdehtp,retn,25.95,3
f5,20umdehtp,retn,26.47,3
g5,mie,retn,28.52,2
h5,mid,retn,20.28,2
a6,mi,retn,27.06,3
b6,0.01umdehtp,retn,26.69,3
c6,0.1umdehtp,retn,26.3,3
d6,1umdehtp,retn,25.74,3
e6,10umdehtp,retn,26.01,3
f6,20umdehtp,retn,26.42,3
g6,mie,retn,28.44,2
h6,mid,retn,20.38,2
a7,mi,retn,26.02,1
b7,0.01umdeha,retn,26.36,1
c7,0.1umdeha,retn,25.96,1
d7,1umdeha,retn,26.24,1
e7,10umdeha,retn,25.46,1
f7,20umdeha,retn,25.11,1
g7,mi,retn,24.03,1
h7,mir,retn,21.71,1
a8,mi,retn,26.09,1
b8,0.01umdeha,retn,26.57,1
c8,0.1umdeha,retn,26.04,1
d8,1umdeha,retn,26.21,1
e8,10umdeha,retn,25.67,1
f8,20umdeha,retn,25.12,1
g8,mi,retn,23.89,1
h8,mir,retn,21.69,1
a9,mi,retn,26.07,1
b9,0.01umdeha,retn,26.51,1
c9,0.1umdeha,retn,26,1
d9,1umdeha,retn,26.29,1
e9,10umdeha,retn,25.59,1
f9,20umdeha,retn,25.08,1
g9,mi,retn,23.89,1
h9,mir,retn,21.71,1
a10,mi,retn,28.85,2
b10,0.01umdeha,retn,28.94,2
c10,0.1umdeha,retn,29.68,2
d10,1umdeha,retn,28.71,2
e10,10umdeha,retn,28.28,2
f10,20umdeha,retn,27.41,2
g10,mie,retn,23.67,1
h10,mid,retn,21.36,1
a11,mi,retn,28.47,2
b11,0.01umdeha,retn,28.74,2
c11,0.1umdeha,retn,29.73,2
d11,1umdeha,retn,29,2
e11,10umdeha,retn,28.17,2
f11,20umdeha,retn,27.37,2
g11,mie,retn,23.72,1
h11,mid,retn,21.23,1
a12,mi,retn,28.55,2
b12,0.01umdeha,retn,28.83,2
c12,0.1umdeha,retn,29.69,2
d12,1umdeha,retn,28.87,2
e12,10umdeha,retn,28.35,2
f12,20umdeha,retn,27.52,2
g12,mie,retn,23.78,1
h12,mid,retn,21.21,1
a1,mi,fasn,24.83,4
b1,0.01ummehtp,fasn,24.99,4
c1,0.1ummehtp,fasn,25.03,4
d1,1ummehtp,fasn,25.01,4
e1,10ummehtp,fasn,24.73,4
f1,20ummehtp,fasn,24.11,4
a2,mi,fasn,24.86,4
b2,0.01ummehtp,fasn,24.92,4
c2,0.1ummehtp,fasn,24.64,4
d2,1ummehtp,fasn,24.81,4
e2,10ummehtp,fasn,24.49,4
f2,20ummehtp,fasn,23.94,4
a3,mi,fasn,24.72,4
b3,0.01ummehtp,fasn,24.81,4
c3,0.1ummehtp,fasn,24.6,4
d3,1ummehtp,fasn,24.82,4
e3,10ummehtp,fasn,24.51,4
f3,20ummehtp,fasn,27.08,4
a4,mi,fasn,24.69,5
b4,0.01ummeha,fasn,24.36,5
c4,0.1ummeha,fasn,24.16,5
d4,1ummeha,fasn,24.11,5
e4,10ummeha,fasn,24.23,5
f4,20ummeha,fasn,23.93,5
a5,mi,fasn,24.84,5
b5,0.01ummeha,fasn,24.35,5
c5,0.1ummeha,fasn,24.14,5
d5,1ummeha,fasn,24.18,5
e5,10ummeha,fasn,24.11,5
f5,20ummeha,fasn,23.75,5
a6,mi,fasn,24.73,5
b6,0.01ummeha,fasn,24.22,5
c6,0.1ummeha,fasn,24.22,5
d6,1ummeha,fasn,24.08,5
e6,10ummeha,fasn,24.16,5
f6,20ummeha,fasn,23.73,5
a7,mi,fasn,24.71,4
b7,0.01ummehp,fasn,24.68,4
c7,0.1ummehp,fasn,24.71,4
d7,1ummehp,fasn,24.56,4
e7,10ummehp,fasn,24.08,4
f7,20ummehp,fasn,23.14,4
a8,mi,fasn,24.68,4
b8,0.01ummehp,fasn,24.8,4
c8,0.1ummehp,fasn,24.49,4
d8,1ummehp,fasn,24.53,4
e8,10ummehp,fasn,24.01,4
f8,20ummehp,fasn,23.11,4
a9,mi,fasn,24.6,4
b9,0.01ummehp,fasn,24.53,4
c9,0.1ummehp,fasn,24.43,4
d9,1ummehp,fasn,24.53,4
e9,10ummehp,fasn,24.15,4
f9,20ummehp,fasn,23,4
a10,mi,fasn,24.22,5
b10,mie,fasn,24.01,5
c10,mir,fasn,21.5,5
d10,mid,fasn,22.51,5
e10,mi,fasn,24.18,6
f10,mie,fasn,24.16,6
g10,mir,fasn,22.2,6
h10,mid,fasn,22.13,6
a11,mi,fasn,24.22,5
b11,mie,fasn,23.89,5
c11,mir,fasn,21.51,5
d11,mid,fasn,22.5,5
e11,mi,fasn,24.28,6
f11,mie,fasn,24.16,6
g11,mir,fasn,22.24,6
h11,mid,fasn,22.09,6
a12,mi,fasn,24.32,5
b12,mie,fasn,24.06,5
c12,mir,fasn,21.72,5
d12,mid,fasn,22.62,5
e12,mi,fasn,24.39,6
f12,mie,fasn,24.32,6
g12,mir,fasn,22.3,6
h12,mid,fasn,22.15,6
a1,mi,srebp,26.02,4
b1,0.01ummehtp,srebp,26.02,4
c1,0.1ummehtp,srebp,25.86,4
d1,1ummehtp,srebp,26.2,4
e1,10ummehtp,srebp,25.98,4
f1,20ummehtp,srebp,25.77,4
a2,mi,srebp,25.99,4
b2,0.01ummehtp,srebp,26.02,4
c2,0.1ummehtp,srebp,25.69,4
d2,1ummehtp,srebp,26.12,4
e2,10ummehtp,srebp,25.83,4
f2,20ummehtp,srebp,25.63,4
a3,mi,srebp,25.89,4
b3,0.01ummehtp,srebp,25.87,4
c3,0.1ummehtp,srebp,25.55,4
d3,1ummehtp,srebp,26.06,4
e3,10ummehtp,srebp,25.78,4
f3,20ummehtp,srebp,25.55,4
a4,mi,srebp,25.75,5
b4,0.01ummeha,srebp,25.46,5
c4,0.1ummeha,srebp,25.22,5
d4,1ummeha,srebp,25.32,5
e4,10ummeha,srebp,25.29,5
f4,20ummeha,srebp,25.23,5
a5,mi,srebp,25.76,5
b5,0.01ummeha,srebp,25.44,5
c5,0.1ummeha,srebp,25.26,5
d5,1ummeha,srebp,25.29,5
e5,10ummeha,srebp,25.23,5
f5,20ummeha,srebp,25.33,5
a6,mi,srebp,25.71,5
b6,0.01ummeha,srebp,25.43,5
c6,0.1ummeha,srebp,25.39,5
d6,1ummeha,srebp,25.24,5
e6,10ummeha,srebp,25.37,5
f6,20ummeha,srebp,25.31,5
a7,mi,srebp,25.9,4
b7,0.01ummehp,srebp,25.91,4
c7,0.1ummehp,srebp,25.76,4
d7,1ummehp,srebp,25.97,4
e7,10ummehp,srebp,25.28,4
f7,20ummehp,srebp,25.01,4
a8,mi,srebp,25.78,4
b8,0.01ummehp,srebp,26.01,4
c8,0.1ummehp,srebp,25.91,4
d8,1ummehp,srebp,25.9,4
e8,10ummehp,srebp,25.29,4
f8,20ummehp,srebp,25.04,4
a9,mi,srebp,25.76,4
b9,0.01ummehp,srebp,25.72,4
c9,0.1ummehp,srebp,25.75,4
d9,1ummehp,srebp,25.85,4
e9,10ummehp,srebp,25.33,4
f9,20ummehp,srebp,24.99,4
a10,mi,srebp,25.49,5
b10,mie,srebp,25.3,5
c10,mir,srebp,24.2,5
d10,mid,srebp,24.42,5
e10,mi,srebp,25.21,6
f10,mie,srebp,25.18,6
g10,mir,srebp,24.56,6
h10,mid,srebp,24.15,6
a11,mi,srebp,25.42,5
b11,mie,srebp,25.24,5
c11,mir,srebp,24.24,5
d11,mid,srebp,24.55,5
e11,mi,srebp,25.32,6
f11,mie,srebp,25.2,6
g11,mir,srebp,24.64,6
h11,mid,srebp,24.27,6
a12,mi,srebp,25.56,5
b12,mie,srebp,25.37,5
c12,mir,srebp,24.43,5
d12,mid,srebp,24.45,5
e12,mi,srebp,25.43,6
f12,mie,srebp,25.22,6
g12,mir,srebp,24.62,6
h12,mid,srebp,24.22,6
a1,mi,cebpa,27.8,4
b1,0.01ummehtp,cebpa,27.81,4
c1,0.1ummehtp,cebpa,27.86,4
d1,1ummehtp,cebpa,28.36,4
e1,10ummehtp,cebpa,28.16,4
f1,20ummehtp,cebpa,27.68,4
a2,mi,cebpa,27.92,4
b2,0.01ummehtp,cebpa,27.46,4
c2,0.1ummehtp,cebpa,27.29,4
d2,1ummehtp,cebpa,28.03,4
e2,10ummehtp,cebpa,27.39,4
f2,20ummehtp,cebpa,27.03,4
a3,mi,cebpa,27.71,4
b3,0.01ummehtp,cebpa,27.2,4
c3,0.1ummehtp,cebpa,27.04,4
d3,1ummehtp,cebpa,27.45,4
e3,10ummehtp,cebpa,27.32,4
f3,20ummehtp,cebpa,26.83,4
a4,mi,cebpa,27.6,5
b4,0.01ummeha,cebpa,26.62,5
c4,0.1ummeha,cebpa,26.29,5
d4,1ummeha,cebpa,26.73,5
e4,10ummeha,cebpa,26.58,5
f4,20ummeha,cebpa,26.28,5
a5,mi,cebpa,27.68,5
b5,0.01ummeha,cebpa,26.92,5
c5,0.1ummeha,cebpa,26.59,5
d5,1ummeha,cebpa,26.84,5
e5,10ummeha,cebpa,26.91,5
f5,20ummeha,cebpa,26.65,5
a6,mi,cebpa,27.5,5
b6,0.01ummeha,cebpa,26.81,5
c6,0.1ummeha,cebpa,26.77,5
d6,1ummeha,cebpa,26.66,5
e6,10ummeha,cebpa,26.8,5
f6,20ummeha,cebpa,26.38,5
a7,mi,cebpa,28.02,4
b7,0.01ummehp,cebpa,27.45,4
c7,0.1ummehp,cebpa,27.24,4
d7,1ummehp,cebpa,27.58,4
e7,10ummehp,cebpa,26.24,4
f7,20ummehp,cebpa,25.46,4
a8,mi,cebpa,27.93,4
b8,0.01ummehp,cebpa,27.47,4
c8,0.1ummehp,cebpa,27.34,4
d8,1ummehp,cebpa,27.52,4
e8,10ummehp,cebpa,26.43,4
f8,20ummehp,cebpa,25.56,4
a9,mi,cebpa,27.87,4
b9,0.01ummehp,cebpa,27.16,4
c9,0.1ummehp,cebpa,27.1,4
d9,1ummehp,cebpa,27.42,4
e9,10ummehp,cebpa,26.14,4
f9,20ummehp,cebpa,25.19,4
a10,mi,cebpa,27.38,5
b10,mie,cebpa,26.4,5
c10,mir,cebpa,23.82,5
d10,mid,cebpa,24.73,5
e10,mi,cebpa,26.36,6
f10,mie,cebpa,26.23,6
g10,mir,cebpa,24.54,6
h10,mid,cebpa,24.6,6
a11,mi,cebpa,27.43,5
b11,mie,cebpa,26.76,5
c11,mir,cebpa,24.17,5
d11,mid,cebpa,25.24,5
e11,mi,cebpa,26.62,6
f11,mie,cebpa,26.68,6
g11,mir,cebpa,24.84,6
h11,mid,cebpa,24.79,6
a12,mi,cebpa,27.57,5
b12,mie,cebpa,27.03,5
c12,mir,cebpa,24.73,5
d12,mid,cebpa,25.47,5
e12,mi,cebpa,27.46,6
f12,mie,cebpa,27.12,6
g12,mir,cebpa,25.43,6
h12,mid,cebpa,24.97,6
a1,mi,cebpa,28.76,5
b1,0.01ummehtp,cebpa,28.32,5
c1,0.1ummehtp,cebpa,28.21,5
d1,1ummehtp,cebpa,28.41,5
e1,10ummehtp,cebpa,28.65,5
f1,20ummehtp,cebpa,29,5
a2,mi,cebpa,28.64,5
b2,0.01ummehtp,cebpa,27.84,5
c2,0.1ummehtp,cebpa,27.89,5
d2,1ummehtp,cebpa,27.97,5
e2,10ummehtp,cebpa,28.18,5
f2,20ummehtp,cebpa,28.25,5
a3,mi,cebpa,28.45,5
b3,0.01ummehtp,cebpa,27.62,5
c3,0.1ummehtp,cebpa,27.49,5
d3,1ummehtp,cebpa,27.71,5
e3,10ummehtp,cebpa,28,5
f3,20ummehtp,cebpa,28.07,5
a4,mi,cebpa,28.08,6
b4,0.01ummeha,cebpa,27.64,6
c4,0.1ummeha,cebpa,27.43,6
d4,1ummeha,cebpa,27.66,6
e4,10ummeha,cebpa,27.5,6
f4,20ummeha,cebpa,27.36,6
a5,mi,cebpa,28.28,6
b5,0.01ummeha,cebpa,27.94,6
c5,0.1ummeha,cebpa,27.5,6
d5,1ummeha,cebpa,27.61,6
e5,10ummeha,cebpa,27.49,6
f5,20ummeha,cebpa,27.27,6
a6,mi,cebpa,28.16,6
b6,0.01ummeha,cebpa,27.62,6
c6,0.1ummeha,cebpa,27.52,6
d6,1ummeha,cebpa,27.62,6
e6,10ummeha,cebpa,27.61,6
f6,20ummeha,cebpa,27.09,6
a7,mi,cebpa,28.22,5
b7,0.01ummehp,cebpa,27.87,5
c7,0.1ummehp,cebpa,27.41,5
d7,1ummehp,cebpa,27.42,5
e7,10ummehp,cebpa,26.79,5
f7,20ummehp,cebpa,26.09,5
a8,mi,cebpa,27.87,5
b8,0.01ummehp,cebpa,27.63,5
c8,0.1ummehp,cebpa,27.39,5
d8,1ummehp,cebpa,27.33,5
e8,10ummehp,cebpa,26.55,5
f8,20ummehp,cebpa,26.09,5
a9,mi,cebpa,27.54,5
b9,0.01ummehp,cebpa,27.32,5
c9,0.1ummehp,cebpa,27.3,5
d9,1ummehp,cebpa,27.34,5
e9,10ummehp,cebpa,26.29,5
f9,20ummehp,cebpa,25.8,5
a1,mi,fasn,23.97,5
b1,0.01ummehtp,fasn,23.57,5
c1,0.1ummehtp,fasn,23.59,5
d1,1ummehtp,fasn,23.96,5
e1,10ummehtp,fasn,23.25,5
f1,20ummehtp,fasn,23.22,5
a2,mi,fasn,24.01,5
b2,0.01ummehtp,fasn,23.49,5
c2,0.1ummehtp,fasn,23.4,5
d2,1ummehtp,fasn,23.62,5
e2,10ummehtp,fasn,23.15,5
f2,20ummehtp,fasn,23.09,5
a3,mi,fasn,23.96,5
b3,0.01ummehtp,fasn,23.42,5
c3,0.1ummehtp,fasn,23.34,5
d3,1ummehtp,fasn,23.53,5
e3,10ummehtp,fasn,23.1,5
f3,20ummehtp,fasn,23,5
a4,mi,fasn,23.68,6
b4,0.01ummeha,fasn,23.55,6
c4,0.1ummeha,fasn,23.31,6
d4,1ummeha,fasn,23.46,6
e4,10ummeha,fasn,23.03,6
f4,20ummeha,fasn,23.04,6
a5,mi,fasn,23.74,6
b5,0.01ummeha,fasn,23.43,6
c5,0.1ummeha,fasn,23.18,6
d5,1ummeha,fasn,23.33,6
e5,10ummeha,fasn,23.14,6
f5,20ummeha,fasn,23.04,6
a6,mi,fasn,23.59,6
b6,0.01ummeha,fasn,23.41,6
c6,0.1ummeha,fasn,23.32,6
d6,1ummeha,fasn,23.28,6
e6,10ummeha,fasn,23.07,6
f6,20ummeha,fasn,23.03,6
a7,mi,fasn,23.72,5
b7,0.01ummehp,fasn,23.49,5
c7,0.1ummehp,fasn,23.28,5
d7,1ummehp,fasn,23.42,5
e7,10ummehp,fasn,22.48,5
f7,20ummehp,fasn,22.22,5
a8,mi,fasn,23.68,5
b8,0.01ummehp,fasn,23.59,5
c8,0.1ummehp,fasn,23.33,5
d8,1ummehp,fasn,23.41,5
e8,10ummehp,fasn,22.5,5
f8,20ummehp,fasn,22.22,5
a9,mi,fasn,23.64,5
b9,0.01ummehp,fasn,23.42,5
c9,0.1ummehp,fasn,23.18,5
d9,1ummehp,fasn,23.37,5
e9,10ummehp,fasn,22.43,5
f9,20ummehp,fasn,22.12,5
a1,mi,srebp,26.63,5
b1,0.01ummehtp,srebp,26.26,5
c1,0.1ummehtp,srebp,26.41,5
d1,1ummehtp,srebp,26.37,5
e1,10ummehtp,srebp,26.59,5
f1,20ummehtp,srebp,26.62,5
a2,mi,srebp,26.51,5
b2,0.01ummehtp,srebp,26.19,5
c2,0.1ummehtp,srebp,26.23,5
d2,1ummehtp,srebp,26.39,5
e2,10ummehtp,srebp,26.43,5
f2,20ummehtp,srebp,26.39,5
a3,mi,srebp,26.67,5
b3,0.01ummehtp,srebp,26.11,5
c3,0.1ummehtp,srebp,26.08,5
d3,1ummehtp,srebp,26.25,5
e3,10ummehtp,srebp,26.35,5
f3,20ummehtp,srebp,26.33,5
a4,mi,srebp,26.34,6
b4,0.01ummeha,srebp,26.06,6
